Age,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Stress_Level,Time_Spent_With_Family_Hours,Online_Shopping_Hours,Has_Screen_Time_Management_App,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score,risk_level,Education_Level_ord,Gender_Male,Gender_Other,Urban_Urban,reward_app_share
30,46308.06,2.7,64.0,2.35,1.43,2.84,1.73,1.91,6.37,0.55,41.54,0.73,0.86,1,3.75,0,16.0,123.0,6.9,High,2,0,1,0,2.4518509437589096
23,33378.23,4.6,100.0,2.96,1.61,2.75,1.18,3.7,4.8,0.64,73.02,2.36,1.2,1,28.46,1,8.0,133.0,43.94,High,3,0,0,0,1.5913040018904345
20,68008.82,5.98,81.0,2.73,1.08,1.14,0.77,1.75,5.86,1.03,44.16,2.19,0.83,0,39.82,1,8.0,48.0,10.79,Moderate,2,0,1,1,0.8277590589031674
19,22862.86,6.99,89.0,3.19,2.73,0.31,1.06,2.14,6.74,1.28,27.42,2.11,1.13,0,27.42,1,13.0,122.0,4.98,Moderate,3,1,0,0,0.8912731199895393
32,24931.57,6.66,63.0,3.22,2.73,2.085,1.81,0.36,8.6,0.62,88.84,0.02,0.2,1,17.63,1,13.0,46.0,22.51,Low,3,0,1,0,1.2064562753068655
18,19354.88,6.03,81.0,3.28,1.0,1.52,1.05,2.0,7.45,0.78,30.73,1.41,0.81,0,38.59,1,9.0,49.0,20.43,Low,-1,0,1,1,0.9618572202558505
35,16237.5,6.18,90.0,1.63,1.9,2.94,1.3,0.51,6.74,0.75,0.83,2.88,1.05,0,33.78,1,11.0,144.0,75.41,High,0,0,1,1,1.046925396937638
33,38924.58,4.31,67.0,1.13,0.6,1.32,2.07,1.93,6.83,0.94,81.32,1.48,1.68,0,14.9,1,13.0,116.0,72.51,Low,0,1,0,0,0.7076564483395712
21,25565.4,5.78,46.0,1.8,1.85,1.86,2.34,3.72,5.6,0.75,69.5,1.17,1.21,1,42.62,1,10.0,113.0,90.32,High,3,0,0,1,0.9532870323032817
32,45705.05,4.04,68.0,0.36,2.97,2.7,1.13,0.05,8.46,0.39,39.28,1.99,0.25,1,15.67,0,9.0,55.0,68.87,Moderate,-1,0,0,1,1.4925738879767605
20,35289.55,7.29,102.0,3.19,3.81,0.06,0.97,1.63,5.32,0.25,83.39,1.91,0.7,0,25.09,1,17.0,118.0,16.03,High,0,0,0,1,0.968449798566557
23,45579.81,7.96,80.0,1.69,0.63,1.26,1.57,2.46,5.13,0.9,18.46,1.94,0.81,1,31.96,1,19.0,98.0,21.86,High,-1,1,0,1,0.4497486872175016
28,34809.97,9.25,56.0,1.61,2.09,4.33,2.1,1.36,7.12,0.44,51.51,1.61,0.7,1,16.72,1,8.0,66.0,32.37,Moderate,2,1,0,1,0.8681080142585933
21,37970.95,3.71,38.0,3.14,2.75,2.82,1.11,3.66,6.36,0.31,47.53,0.93,0.47,0,27.91,1,12.0,119.0,40.59,Moderate,3,1,0,0,2.347708262073245
34,27318.24,5.96,52.0,2.59,1.72,2.11,0.9,1.92,4.85,0.68,89.51,1.52,1.39,0,41.24,0,14.0,101.0,68.51,High,1,0,0,0,1.0771810273186195
33,11394.03,5.66,70.0,0.81,0.43,0.79,0.65,3.97,7.74,0.47,70.18,1.4,2.07,1,8.88,0,13.0,53.0,60.37,Low,-1,0,1,1,0.3586571804492614
21,24060.77,5.87,29.0,3.48,0.67,3.48,1.39,0.43,8.37,0.82,72.91,0.56,1.29,0,28.96,0,8.0,89.0,92.05,High,0,1,0,0,1.2998294208127052
20,26691.28,3.92,92.0,2.15,2.6,3.25,0.09,3.11,6.07,0.88,72.64,1.48,0.96,1,15.76,0,15.0,114.0,38.28,High,-1,0,0,1,2.040815805914335
32,17973.79,9.08,57.0,2.24,1.61,1.89,2.03,0.43,7.06,0.46,29.65,1.74,1.44,1,21.49,0,10.0,147.0,2.8,Moderate,1,0,0,0,0.6321585206873876
21,13730.55,9.48,99.0,1.87,0.99,2.8,1.04,2.64,5.89,1.58,34.49,1.97,0.4,1,19.6,0,13.0,119.0,97.34,Low,3,1,0,1,0.5970463505225369
21,44724.8,6.13,106.0,2.93,1.48,2.48,0.83,2.8,8.26,0.85,59.25,1.1,1.08,1,7.57,1,9.0,42.0,14.37,Moderate,1,1,0,1,1.1239802407862578
25,53592.72,1.88,54.0,2.42,1.16,3.45,1.41,1.6,6.16,0.39,55.19,1.65,0.43,1,38.6,0,20.0,86.0,22.95,Moderate,-1,0,0,1,3.0
27,41902.09,3.49,53.0,2.2,0.02,2.32,1.9,3.62,7.36,0.8,78.08,0.2,0.89,0,18.11,0,12.0,142.0,31.58,Low,-1,1,0,1,1.3008592261148348
21,23117.07,5.97,92.0,1.88,2.97,2.61,1.74,3.24,6.78,1.37,80.31,1.48,1.1,0,38.57,1,10.0,83.0,18.07,High,0,1,0,0,1.249581030220933
35,21644.86,2.32,55.0,2.75,0.41,0.93,0.91,1.82,8.28,1.38,18.91,1.48,1.0,1,21.21,1,8.0,105.0,35.08,Moderate,1,0,0,1,1.7629302745990196
32,48277.84,4.37,55.0,1.65,1.61,2.02,0.71,2.18,4.41,1.18,10.37,0.13,0.71,0,26.05,1,9.0,56.0,86.18,Low,-1,1,0,0,1.2082377097854209
25,28411.97,6.28,84.0,2.24,1.49,2.73,1.26,1.43,6.41,1.33,38.68,1.77,0.44,0,17.13,0,15.0,125.0,63.12,High,-1,0,1,0,1.0286622565824433
33,6758.38,4.95,68.0,1.65,2.21,3.16,1.79,1.44,4.51,0.95,84.5,2.32,0.59,1,33.79,1,12.0,114.0,97.97,High,2,0,1,0,1.4181815316804984
26,18597.62,4.32,29.0,1.8,1.17,0.34,0.45,2.0149999999999997,8.33,0.95,41.56,1.17,0.81,1,23.2,1,20.0,98.0,17.47,Low,2,0,1,1,0.7662035263417761
29,36311.59,5.55,110.0,3.61,3.36,1.12,1.27,1.25,7.89,1.57,26.31,2.49,0.46,0,33.1,1,14.0,87.0,97.28,High,1,0,0,0,1.4576573950166856
32,41257.03,6.64,82.0,2.64,1.61,2.53,2.07,4.19,4.26,0.8,81.97,2.37,0.92,1,28.04,0,19.0,57.0,83.95,Moderate,2,0,1,1,1.021084183571659
19,34838.8,2.9,48.0,2.73,3.38,1.67,1.16,2.0149999999999997,7.2,1.48,18.22,1.06,0.88,0,29.83,1,20.0,130.0,12.04,High,1,1,0,1,2.6827576956007944
23,65662.64,6.6,81.0,1.92,2.29,4.02,1.3,3.52,7.19,0.58,25.92,2.22,0.05,1,34.36,0,8.0,112.0,15.39,High,-1,1,0,1,1.2469695080349232
32,35111.87,2.21,82.0,3.55,1.61,4.51,1.58,1.58,6.12,0.55,69.2,0.84,0.81,1,9.96,0,10.0,110.0,62.01,Moderate,1,0,0,1,3.0
18,18388.4,7.65,119.0,0.22,1.11,1.51,2.57,1.67,7.3,1.55,62.27,1.68,0.7,0,24.77,1,12.0,85.0,28.33,Moderate,2,0,1,1,0.371241781537022
34,51037.61,5.7,91.0,2.34,0.69,2.33,1.97,0.68,7.22,0.31,22.18,0.15,0.92,1,18.06,1,20.0,92.0,31.87,Low,3,0,0,1,0.9403507122191731
32,17462.26,4.26,35.0,1.87,1.71,2.77,0.79,4.2,6.63,1.77,67.64,1.95,0.4,1,33.53,1,18.0,134.0,58.05,Moderate,2,1,0,1,1.490609978730052
23,42365.38,7.45,150.0,1.56,1.78,2.08,1.44,2.23,5.85,1.18,41.96,0.29,0.58,0,41.06,1,17.0,70.0,11.04,High,2,1,0,0,0.7275166808702441
24,39752.83,7.76,42.0,1.22,2.11,1.73,0.94,3.36,8.4,1.03,64.61,2.7,0.1,1,37.48,0,15.0,34.0,59.83,Low,-1,0,0,1,0.6520617716415243
27,27256.75,4.46,61.0,1.37,2.37,0.64,1.7,0.96,7.38,0.88,36.02,1.94,1.21,1,12.41,1,14.0,119.0,93.46,High,2,0,1,0,0.9820625600756592
35,28643.76,1.39,123.0,1.19,1.01,2.14,0.64,3.26,7.01,0.94,31.12,1.5,0.25,1,23.82,1,18.0,76.0,80.01,Low,2,1,0,0,3.0
33,51912.71,6.2,37.0,0.92,3.08,0.51,1.01,1.34,4.48,0.77,53.47,1.57,0.86,0,35.53,0,13.0,107.0,36.1,Moderate,1,0,1,1,0.7274192375130262
25,56138.91,4.55,93.0,0.67,1.87,1.12,1.42,0.72,6.11,0.4,59.12,2.58,0.38,0,20.29,0,17.0,55.0,17.82,High,0,0,1,1,0.8043954276054006
29,33114.06,7.53,111.0,2.43,2.04,1.01,1.74,0.65,5.81,0.75,69.82,1.4,0.65,1,22.7,1,8.0,127.0,83.42,Low,-1,1,0,1,0.7277555474428224
28,23935.67,6.84,112.0,2.57,2.52,2.42,1.99,1.67,7.46,1.35,7.01,1.74,0.8,1,21.58,1,17.0,116.0,5.35,Low,0,0,1,0,1.0979530558548163
33,31348.015,9.19,89.0,2.14,1.84,1.92,1.86,0.84,3.63,0.61,53.36,1.93,0.26,1,35.43,1,20.0,102.0,48.77,Moderate,-1,1,0,1,0.6420021064197927
29,40112.03,7.76,117.0,1.75,2.24,1.9,0.63,2.7,6.39,0.83,34.67,1.26,1.01,1,23.8,1,10.0,99.0,71.34,High,2,0,0,1,0.7590205207447783
30,26645.82,4.95,82.0,2.24,1.34,2.64,1.14,3.04,5.68,0.9,1.02,0.82,0.56,1,44.99,0,9.0,95.0,41.39,High,1,1,0,0,1.25656540271406
34,59326.52,5.05,83.0,1.62,1.61,1.58,1.32,1.87,6.96,1.24,12.57,0.32,1.07,0,11.97,1,18.0,89.0,52.0,High,-1,1,0,1,0.9524750589158301
18,9333.55,6.31,67.0,2.76,0.06,2.91,1.49,2.23,5.39,1.86,65.35,0.74,1.81,0,37.43,0,14.0,145.0,50.55,High,2,1,0,1,0.9080822649631911
23,38271.74,7.62,79.0,4.29,1.02,2.04,1.26,1.59,5.8,1.41,1.41,1.77,0.82,0,29.51,0,12.0,96.0,23.17,Low,3,0,1,1,0.9645668025502884
20,7687.77,8.84,106.0,2.07,1.17,3.48,1.6,2.57,7.55,0.69,10.22,1.93,1.09,1,27.58,0,8.0,115.0,80.21,Moderate,2,0,1,1,0.7601809094817976
29,29807.29,2.48,68.0,3.39,1.71,2.2,2.01,0.84,7.33,1.63,93.03,1.8,0.54,0,21.94,0,10.0,131.0,73.78,Moderate,1,0,1,0,2.9435472001825804
30,38419.03,4.02,87.0,1.2,1.61,1.48,1.32,3.55,6.86,1.13,23.55,1.26,0.81,0,15.92,1,11.0,180.0,19.28,High,0,1,0,0,1.0671639136408175
27,31312.61,7.04,72.0,2.22,3.42,0.33,1.64,0.84,6.06,1.23,72.69,1.53,1.34,0,25.31,1,8.0,111.0,25.12,Moderate,3,0,1,0,0.8480112431802213
29,44569.59,6.19,68.0,0.72,0.79,2.29,2.55,2.9,6.32,1.37,2.43,0.86,0.77,0,15.76,0,10.0,91.0,3.69,Low,0,1,0,1,0.6138932772385658
34,56499.79,6.7,91.0,1.59,0.95,2.03,1.31,3.16,5.52,0.4,41.41,2.33,0.51,0,47.47,0,15.0,128.0,47.19,High,3,0,1,0,0.6820894504344104
22,18528.9,5.72,79.0,2.02,1.1,2.52,0.82,3.39,7.53,1.39,15.94,0.33,0.9,0,8.46,0,9.0,94.0,25.58,Moderate,3,1,0,1,0.9860138136339488
19,23108.52,6.29,46.0,2.43,0.19,1.56,1.83,1.89,4.28,0.68,27.58,1.86,1.8,0,38.94,0,20.0,134.0,69.04,Low,1,0,1,0,0.6645467941896988
34,27525.33,3.87,62.0,3.58,2.45,2.45,1.22,2.31,6.13,1.39,68.21,0.99,0.7,0,11.61,0,11.0,95.0,59.48,Low,0,1,0,1,2.1912139040790946
30,13237.37,5.77,119.0,2.57,2.33,2.085,2.41,2.71,6.33,1.46,51.25,1.93,0.22,1,17.85,1,10.0,136.0,15.38,High,1,1,0,1,1.2105717139390444
35,24611.88,7.63,104.0,1.39,0.86,2.01,1.41,2.85,8.26,0.11,33.36,1.53,0.48,0,34.31,1,11.0,40.0,86.04,High,3,0,0,0,0.5583223383588023
30,36059.78,3.68,118.0,2.73,2.73,3.26,1.59,2.47,6.17,0.68,2.24,1.51,1.76,1,32.23,0,11.0,145.0,72.63,Moderate,2,0,1,0,2.369564573487887
21,25833.0,3.92,71.0,2.27,0.17,1.69,1.34,3.1,6.71,1.26,12.23,1.56,1.35,1,11.87,1,20.0,49.0,40.06,High,2,0,1,0,1.0535711598032755
33,54802.69,7.31,99.0,1.77,2.3,2.61,1.61,2.76,5.89,1.07,84.07,2.77,0.81,0,37.29,1,20.0,91.0,0.94,Moderate,1,0,0,0,0.9138165644573784
23,13241.03,4.42,72.0,2.41,2.23,1.88,1.26,1.56,7.48,0.43,60.6,1.09,0.85,1,30.2,1,9.0,100.0,93.85,High,-1,0,1,0,1.475112788436021
29,16587.6,6.13,67.0,1.84,1.99,2.46,1.1,1.4,3.68,1.51,92.21,0.34,0.64,0,15.55,1,17.0,80.0,24.04,High,-1,0,0,1,1.0261009745349143
23,885.98,3.9,105.0,2.57,1.67,1.8,2.14,2.43,6.31,0.44,91.75,1.38,0.88,1,14.53,0,20.0,145.0,64.87,High,3,0,1,0,1.5487175516108842
21,31951.13,6.84,82.0,2.38,2.13,3.84,0.49,2.72,5.38,1.61,27.36,0.38,0.71,0,27.21,0,14.0,76.0,90.27,High,2,1,0,0,1.2207600554444362
22,35667.21,6.2,109.0,0.98,1.72,3.33,1.3,2.23,6.36,0.63,89.6,1.97,0.18,1,9.19,1,17.0,100.0,26.05,High,0,0,1,0,0.9725804882934697
28,22610.87,6.9,43.0,2.46,2.52,1.98,2.78,3.27,7.98,1.03,93.28,0.33,0.99,0,27.27,0,13.0,95.0,56.9,High,1,1,0,0,1.0086955059861586
35,5413.63,5.35,23.0,3.25,0.61,2.45,1.71,2.57,6.21,0.85,2.79,2.15,0.44,0,18.51,0,16.0,108.0,54.68,High,1,0,0,1,1.179439031880555
35,17326.38,7.58,77.0,1.9,1.5,2.53,1.0,3.17,5.53,0.54,63.82,2.25,0.4,1,34.74,1,17.0,92.0,72.42,Low,2,0,0,1,0.7823217965274675
19,20973.96,4.68,23.0,1.99,0.08,4.2,1.72,3.73,5.82,0.55,89.66,2.24,0.81,0,19.47,1,14.0,43.0,0.36,Low,-1,0,1,0,1.339743303473653
18,15682.16,7.38,61.0,2.3,2.16,1.71,1.31,2.99,6.78,0.43,22.61,2.3,1.26,0,22.2,0,8.0,89.0,75.44,High,1,1,0,1,0.8360432471486114
32,43377.42,6.51,71.0,1.5,1.71,3.16,0.57,2.33,5.92,1.49,17.22,2.77,1.12,1,33.95,0,9.0,162.0,66.37,Low,2,0,1,1,0.9784944733495433
19,40380.34,2.57,89.0,2.48,2.15,1.61,0.94,3.46,5.77,2.02,71.96,1.91,1.05,1,13.28,1,16.0,91.0,93.19,Moderate,0,0,0,0,2.4280146194495646
28,43142.51,9.47,30.0,2.29,1.62,2.41,2.09,3.12,5.05,1.61,89.79,1.4,0.85,1,13.73,1,16.0,157.0,61.24,Low,3,0,1,1,0.6673705736673101
28,24399.49,3.91,78.0,1.15,0.84,1.56,1.65,1.27,6.54,0.25,37.8,1.08,1.02,1,27.17,1,9.0,66.0,85.68,High,0,0,0,1,0.9079281565401133
31,31957.97,8.21,50.0,2.15,3.16,1.93,2.02,0.77,7.49,0.89,90.53,2.08,1.05,0,11.67,0,8.0,141.0,75.53,High,1,0,1,1,0.8818512933189655
29,4138.47,4.63,141.0,1.96,1.22,3.65,1.18,1.11,7.13,1.07,42.65,3.11,0.61,1,7.0,1,14.0,74.0,57.66,Moderate,1,0,1,0,1.4751616684316051
28,43831.23,5.75,82.0,1.22,1.16,2.26,1.52,1.44,5.22,1.36,37.67,1.55,1.37,1,22.17,0,18.0,91.0,58.09,High,2,1,0,0,0.8069563813988901
23,28151.26,4.95,84.0,1.02,1.4,1.0,1.8,3.11,6.43,0.8,0.18,1.86,0.01,0,26.85,0,14.0,68.0,51.27,High,-1,0,0,1,0.690908951331525
30,63942.13,3.18,65.0,3.18,0.23,1.86,1.75,0.12,7.46,1.12,99.24,1.02,0.61,1,21.52,1,11.0,103.0,24.36,High,3,0,1,0,1.6572321832603196
19,50095.05,4.87,23.0,2.09,1.38,1.88,0.68,1.44,5.79,1.18,81.06,0.73,1.03,0,14.53,1,14.0,34.0,12.3,Low,3,0,1,1,1.09856240275926
26,10522.96,7.5,115.0,1.85,1.45,3.18,0.93,2.5,7.36,1.22,21.43,1.61,1.31,1,40.76,0,9.0,100.0,92.35,Moderate,-1,0,0,1,0.8639998848000154
28,55798.98,5.02,41.0,1.64,1.2,2.52,1.53,2.53,5.43,1.81,66.26,1.04,0.81,0,25.08,0,8.0,116.0,69.08,Moderate,2,1,0,0,1.0677288709703443
32,31348.015,4.03,94.0,2.09,1.97,3.07,1.05,1.74,8.36,0.99,91.58,0.62,0.74,1,20.76,0,14.0,117.0,99.06,High,1,0,0,1,1.7692303302157986
20,35294.68,6.78,96.0,1.17,1.12,2.56,1.93,2.12,5.4,1.72,98.91,1.32,0.49,1,34.15,1,20.0,104.0,19.09,High,1,0,0,0,0.7153391275311021
20,60912.55,3.3,110.0,2.44,0.27,2.88,1.61,3.3,6.22,1.54,3.0,1.94,0.21,0,33.62,1,16.0,100.0,95.41,High,-1,0,0,0,1.6939388806245816
32,33911.13,6.93,69.0,1.87,0.28,1.33,0.46,2.3,4.4,0.31,58.67,1.4,0.73,0,16.38,0,8.0,83.0,80.02,High,2,0,1,0,0.5021644297021026
33,25885.03,4.16,112.0,2.43,0.92,2.64,1.96,2.0,6.36,0.06,87.5,0.03,1.23,0,34.44,0,16.0,141.0,22.38,Low,1,0,1,0,1.439903500023197
30,14686.49,6.84,86.0,3.03,2.47,1.04,1.43,2.6,6.41,0.69,45.18,1.34,1.43,0,34.84,1,18.0,92.0,82.74,Low,0,0,1,0,0.9561402110906124
18,52964.49,6.91,84.0,0.95,0.31,3.34,2.51,0.68,6.1,0.51,59.48,1.32,1.08,0,28.87,0,16.0,54.0,2.99,High,-1,0,1,0,0.6657017849925058
21,23537.19,5.07,67.0,2.07,1.43,1.68,1.33,1.3,7.06,0.49,42.07,1.94,0.18,0,37.04,1,20.0,71.0,25.58,Low,3,0,0,0,1.0216960509475244
33,32575.02,4.95,66.0,3.35,0.53,2.6,1.4,3.43,8.82,1.7,69.98,1.48,0.84,1,36.19,0,20.0,78.0,94.39,High,1,1,0,1,1.3090906446281525
18,51459.05,4.55,111.0,0.01,1.87,2.59,2.15,1.12,6.1,0.6,20.04,0.36,0.65,1,11.72,1,10.0,89.0,12.53,Low,1,0,1,1,0.9824173665016777
25,57700.21,5.54,53.0,0.18,2.16,3.08,1.61,1.4,6.91,0.91,98.73,1.85,0.85,1,32.23,1,16.0,134.0,10.7,Low,1,0,1,1,0.9783391735849867
26,20146.48,3.64,120.0,2.38,2.3,3.4,1.65,0.99,5.93,0.94,53.31,0.46,0.43,1,25.67,1,9.0,104.0,96.62,High,0,0,1,1,2.2197796099506566
25,35891.63,6.59,135.0,2.7,1.1,1.09,0.49,2.82,5.32,1.22,22.96,0.55,0.53,0,21.3,1,12.0,84.0,70.33,High,3,0,0,1,0.7420332713151334
23,19924.14,4.71,112.0,2.17,0.25,2.64,1.42,1.69,7.08,1.7,34.44,1.81,0.29,0,30.03,0,20.0,138.0,80.83,Low,-1,1,0,0,1.0743097506773354
28,12931.62,6.74,106.0,0.9,0.14,2.89,2.13,1.97,5.7,1.46,58.49,1.01,0.26,0,3.58,0,9.0,91.0,82.78,Low,1,0,1,1,0.5830859669011919
34,56281.54,6.34,91.0,3.02,1.43,0.19,1.16,1.55,5.16,0.92,86.78,2.71,0.84,0,27.79,1,17.0,95.0,39.52,Moderate,-1,0,1,1,0.7318610833026683
20,38994.9,5.61,84.0,2.33,1.81,0.51,0.96,3.82,5.9,1.42,77.63,1.65,1.05,0,27.38,0,17.0,141.0,61.85,High,1,0,1,1,0.8288768575977081
19,27110.92,4.03,97.0,2.55,0.42,2.61,1.65,1.3,7.24,1.14,30.65,3.09,0.81,0,2.82,1,10.0,122.0,5.39,High,-1,0,1,1,1.3846150410384512
23,57980.13,6.03,69.0,2.1,2.51,1.99,0.46,1.32,5.48,1.03,71.75,1.55,1.2,1,25.11,1,19.0,52.0,32.31,Moderate,0,0,1,1,1.0945271816704507
30,43569.99,9.16,74.0,1.54,1.29,2.02,1.59,0.98,8.52,1.66,38.87,1.48,1.4,0,24.81,0,16.0,97.0,59.63,High,3,0,1,1,0.5294759247297025
29,34773.79,3.91,76.0,2.28,0.84,2.96,1.37,2.92,7.47,1.69,60.97,1.53,1.52,0,34.17,0,14.0,82.0,93.79,Low,1,0,1,0,1.5549868145813772
20,41518.66,5.75,87.0,2.37,1.87,1.56,1.56,1.97,6.29,0.93,17.75,1.36,1.02,1,29.66,1,9.0,82.0,38.36,Low,1,1,0,1,1.008695476748613
25,4716.97,4.59,44.0,0.64,3.64,1.24,1.87,3.4,6.13,0.93,89.13,1.85,1.36,1,35.53,0,17.0,130.0,56.45,High,0,0,1,0,1.2026141170775344
34,12760.08,4.2,48.0,2.02,1.83,1.31,2.28,0.52,6.34,0.63,31.48,2.42,0.95,1,24.2,0,19.0,123.0,70.73,Moderate,2,0,0,1,1.2285711360544913
28,19117.81,4.2,82.0,1.01,1.61,1.11,0.68,2.33,6.29,1.02,4.71,2.33,1.49,0,17.47,0,11.0,92.0,99.94,Moderate,0,1,0,1,0.8880950266440413
26,28345.37,3.91,73.0,2.4,3.49,2.98,2.32,1.4,9.3,1.73,1.45,1.47,1.36,1,13.63,0,9.0,100.0,79.38,High,3,0,0,1,2.268541619298819
35,23466.21,5.31,73.0,1.51,1.33,2.7,2.18,1.01,6.28,0.9,16.14,1.31,2.5,0,31.63,1,17.0,141.0,88.47,High,0,0,0,1,1.043314304460583
35,19436.78,0.47,101.0,1.78,0.25,2.88,0.59,2.29,6.45,1.53,71.51,1.46,0.12,1,31.5,0,20.0,46.0,84.04,High,1,0,1,1,3.0
31,36927.51,7.19,72.0,0.08,1.31,2.52,1.71,1.92,5.08,0.58,78.87,2.0,0.92,0,43.5,0,15.0,98.0,49.13,Low,-1,0,1,0,0.5438107727662347
27,29397.57,8.22,98.0,2.07,2.22,3.31,2.3,1.59,7.15,1.35,23.29,0.08,1.43,0,5.18,1,9.0,145.0,43.28,Low,1,1,0,0,0.9245740967671415
29,35893.94,7.92,95.0,3.06,3.55,1.99,1.33,0.87,7.99,0.74,23.16,1.55,0.97,0,31.54,1,11.0,102.0,12.28,Moderate,3,1,0,0,1.0858584487552463
29,43827.84,10.54,73.0,1.68,2.11,2.67,1.51,2.37,7.73,1.03,41.98,1.77,1.18,0,25.13,0,14.0,73.0,53.22,High,3,0,1,1,0.6129031676562461
20,39438.26,3.07,22.0,1.41,1.03,2.61,0.98,2.29,6.48,0.4,7.32,1.04,0.93,0,33.85,1,12.0,88.0,29.27,Moderate,1,1,0,1,1.6449506042506175
31,58943.81,7.17,62.0,1.73,1.22,2.085,1.74,2.84,6.72,1.7,92.01,1.87,1.48,0,25.83,1,20.0,83.0,93.91,High,2,0,0,0,0.7022314222829258
23,22860.67,6.83,47.0,2.43,2.5,2.41,0.71,2.62,5.86,1.65,4.58,0.33,0.19,1,26.17,0,20.0,114.0,38.6,Moderate,2,0,1,0,1.0746704136646539
31,31348.015,7.56,65.0,2.02,1.57,3.69,1.85,2.33,6.38,1.31,52.58,1.64,0.72,1,4.24,1,17.0,115.0,44.8,High,-1,0,1,1,0.9629628355869264
26,32263.07,9.91,101.0,3.24,0.01,1.87,1.1,2.12,7.44,0.53,20.75,1.65,1.65,1,20.23,1,15.0,113.0,48.66,Moderate,-1,0,1,1,0.5166497965035524
29,35488.24,8.5,72.0,1.24,1.0,2.15,1.39,2.9,6.54,1.55,77.6,1.48,0.58,0,16.72,0,14.0,102.0,32.92,High,2,0,1,0,0.5164705274740558
31,31348.015,4.07,116.0,2.86,1.53,2.62,2.21,2.94,5.8,0.93,86.71,0.63,1.86,1,17.28,0,11.0,99.0,16.12,Low,3,0,1,1,1.722358299174865
19,18581.31,5.41,95.0,2.69,1.1,2.39,2.06,3.64,6.59,0.58,34.02,2.09,0.81,1,39.45,0,11.0,99.0,47.93,Low,2,0,0,0,1.142328809181366
31,41983.08,8.57,27.0,2.97,1.03,4.78,2.6,2.34,5.39,0.86,58.16,0.77,0.38,0,38.82,1,10.0,131.0,55.58,High,0,1,0,1,1.0245039644686158
29,51342.13,4.7,83.0,0.82,0.99,1.87,0.83,0.35,6.09,0.35,79.01,0.41,0.24,1,22.27,1,11.0,78.0,74.98,High,3,0,0,0,0.782978556813073
32,11885.49,4.72,79.0,1.74,1.97,0.77,1.5,1.3,5.78,0.21,13.01,2.6,0.85,1,22.72,0,10.0,121.0,22.56,High,2,0,1,0,0.9491523412812838
27,18299.93,6.58,84.0,2.05,0.59,1.53,1.49,2.28,6.75,0.73,57.83,2.21,0.6,1,37.69,1,17.0,96.0,78.79,High,-1,0,0,1,0.6337385055108654
29,30863.88,4.9,57.0,1.38,1.82,2.48,1.98,2.49,5.73,1.3,80.62,1.01,1.29,0,27.01,1,11.0,140.0,59.17,High,2,1,0,0,1.1591834369013392
18,33876.77,6.53,93.0,0.54,3.02,0.86,1.48,3.92,5.82,0.78,82.12,2.33,0.1,0,18.61,1,11.0,79.0,27.0,High,-1,0,0,0,0.6768758534646472
35,31348.015,4.59,49.0,2.0,0.46,3.45,1.93,0.53,5.91,1.48,37.13,2.08,0.86,1,39.85,1,18.0,146.0,60.18,High,0,1,0,1,1.2875814188275776
33,33536.55,5.91,111.0,4.25,0.4,0.49,0.67,2.23,6.72,1.04,38.74,0.58,1.48,1,21.99,1,12.0,86.0,73.49,High,3,1,0,0,0.8697122047864291
34,1854.92,9.6,58.0,2.72,1.97,2.81,2.35,1.55,5.38,1.37,40.33,0.44,1.32,1,29.5,1,19.0,80.0,58.58,Low,2,1,0,1,0.7812499186198002
23,40328.2,5.42,38.0,1.4,1.67,2.83,1.53,2.47,4.95,1.57,12.87,0.9,0.81,1,26.47,1,10.0,117.0,87.12,High,2,0,0,0,1.0885606847674014
28,36103.5,1.26,61.0,0.2,1.39,2.91,2.24,3.01,6.87,1.14,17.17,1.53,0.4,1,25.9,0,14.0,118.0,59.08,High,2,0,1,0,3.0
29,33711.0,2.08,103.0,1.9,0.88,0.57,1.85,3.92,7.9,1.46,24.0,1.47,1.54,1,22.84,0,15.0,72.0,97.99,High,2,1,0,0,1.6105761487614667
33,31138.73,8.54,58.0,1.45,2.76,1.26,1.65,2.83,6.64,1.65,20.17,2.69,1.19,0,38.31,0,11.0,66.0,32.31,Low,3,0,0,0,0.640515147480662
20,12087.19,8.0,65.0,3.31,2.17,1.83,0.81,2.34,7.17,1.81,75.07,0.48,0.95,0,18.88,0,18.0,105.0,89.1,High,2,1,0,0,0.9137498857812644
23,39171.81,6.4,64.0,1.3,0.61,1.47,2.42,2.67,7.3,0.87,59.84,1.52,0.96,1,35.14,0,15.0,131.0,68.65,Moderate,1,0,1,0,0.5281249174804816
29,34470.71,6.45,57.0,1.46,2.04,2.14,2.2,2.07,7.72,1.08,46.73,2.06,0.76,1,20.71,0,9.0,84.0,39.86,High,1,0,1,0,0.874418469082408
35,25326.85,7.33,91.0,1.01,1.96,2.98,1.39,1.71,5.58,1.81,24.06,2.19,1.58,0,5.23,0,14.0,106.0,41.41,High,2,1,0,1,0.8117324949887454
